bin_3,nom_0,nom_1,nom_5,nom_6,nom_7,nom_8,nom_9,ord_3,ord_5,target,SalePrice,GarageArea,GrLivArea,1stFlrSF,1stFlrSF,TotalBsmtSF,LotArea
T,Blue,Polygon,2ff007c26,6ea52a806,d31f87228,dcf843eef,01dd99dc0,i,su,0,345000.0,736.0,2324.0,1182.0,1182.0,1175.0,11924.0
F,Green,Polygon,a35c346aa,1795ef28b,89f4255e4,7e01eda84,e82ec9b46,g,dP,1,144000.0,352.0,912.0,912.0,912.0,912.0,12968.0
F,Blue,Trapezoid,dbfb714a4,628f3170f,5a99b7d9f,6e6d08b6f,cba64770e,i,aP,1,279500.0,840.0,1494.0,1494.0,1494.0,1494.0,10652.0
T,Blue,Triangle,e1558b071,628f3170f,5ee5d882b,b80b1b531,3c915f463,d,MV,0,157000.0,352.0,1253.0,1253.0,1253.0,1253.0,10920.0
F,Green,Trapezoid,39647c92a,08b282a6c,00994f749,8a8ccfe81,d445baa4d,i,oC,1,132000.0,576.0,854.0,854.0,854.0,832.0,6120.0
T,Red,Circle,ee55b9d67,395941181,91c26901a,078133e43,21ef6824e,j,RL,0,149000.0,480.0,1004.0,1004.0,1004.0,1004.0,11241.0
T,Green,Star,416a8f3ab,d44f7245a,d2d8eabdb,19a7677f3,332ab0429,i,fh,1,90000.0,516.0,1296.0,1296.0,1296.0,0.0,10791.0
T,Blue,Square,91bde92fa,78500847e,5c843e08f,e588cff32,2533756c6,g,gJ,0,159000.0,576.0,1114.0,1114.0,1114.0,1114.0,13695.0
F,Red,Polygon,3aa9329e2,9448b8e3b,22ff79d81,dd3966979,a1f8ae96a,b,Hj,0,139000.0,294.0,1339.0,1339.0,1339.0,1029.0,7560.0
F,Blue,Polygon,568550f04,9b1c3c8b7,68d88988b,0767e6fee,31240cd0f,a,TR,0,325300.0,853.0,2376.0,1158.0,1158.0,1158.0,14215.0
F,Blue,Circle,caf83c0b5,be5a0f5a9,564a11aa1,2d2b020a7,6397e6ac7,k,CL,0,139400.0,280.0,1108.0,1108.0,1108.0,637.0,7449.0
T,Blue,Triangle,908a1b9c9,687eaba3e,6206e88a7,057155a1d,4988ea648,a,Sc,0,230000.0,534.0,1795.0,1795.0,1795.0,1777.0,9742.0
F,Red,Trapezoid,e844a1f66,5d7c5c023,9ef0dc3ff,da4a7c11d,89f8bc6ed,k,eQ,1,129900.0,572.0,1060.0,1060.0,1060.0,1040.0,4224.0
T,Green,Polygon,dbc448931,1fe17a1fd,0efe70958,0c4a1890e,7f8796416,f,kC,0,154000.0,270.0,1060.0,1060.0,1060.0,1060.0,8246.0
F,Green,Square,2979f0d45,92f461454,833708746,ecfac8f2a,50cd6c1fd,e,qK,0,256300.0,890.0,1600.0,1600.0,1600.0,1566.0,14230.0
F,Blue,Trapezoid,96c73114c,cd8e3a0a7,6e0e3ec45,03bd793ce,9b0d8a2f3,k,dh,1,134800.0,576.0,900.0,900.0,900.0,900.0,7200.0
F,Red,Trapezoid,b7bb45938,6ea52a806,bb5a78030,166ddd303,e19545794,k,eQ,1,306000.0,772.0,1704.0,1704.0,1704.0,1704.0,11478.0
F,Green,Polygon,7da3e4aec,f24d83141,23adfa078,b864d65df,6c7322f23,a,gM,0,207500.0,319.0,1600.0,1600.0,1600.0,1484.0,16321.0
F,Red,Star,be4578201,16dfb662a,d2fddb57a,537b5f5ab,5b3d8a29d,h,Jf,0,68500.0,240.0,520.0,520.0,520.0,520.0,6324.0
T,Red,Square,dc07effb0,cefab1020,fcceb793d,6a9a988ae,7091158c4,f,fO,0,40000.0,250.0,1317.0,649.0,649.0,649.0,8500.0
T,Blue,Trapezoid,88917a066,508ff88dc,519829759,b9023027b,87b995b59,e,Eg,0,149350.0,271.0,1228.0,1228.0,1228.0,1228.0,8544.0
T,Green,Trapezoid,dbc448931,6d2cd10c5,37c413570,d28926816,017ec7dc7,k,KZ,0,179900.0,484.0,1234.0,1234.0,1234.0,1234.0,11049.0
T,Red,Star,f2d59cf51,ddb583aa3,9d6653dde,7274a5560,27560dd68,l,fO,1,165500.0,447.0,1700.0,1700.0,1700.0,1398.0,10552.0
T,Blue,Square,5d18641ff,2eadb68c5,af5c8eb4f,1e48caa58,91abed250,n,Vx,1,277500.0,556.0,1561.0,1561.0,1561.0,1561.0,7313.0
F,Green,Trapezoid,9347491f2,854f72f28,6af6214b1,34b21e6f3,3e1d307ac,i,Fo,0,309000.0,691.0,2452.0,1132.0,1132.0,1117.0,13418.0
T,Red,Star,475e79160,42b1cc2fd,e28b7e991,f2289fb5f,fd12e4f13,n,sV,1,145000.0,672.0,1097.0,1097.0,1097.0,1097.0,10859.0
T,Green,Star,e70a6270d,fa2bf5f22,7c033aaf1,31e7314d6,782e0d27d,g,gJ,0,153000.0,498.0,1297.0,1297.0,1297.0,1297.0,8532.0
T,Red,Triangle,5b1a9f841,cd8e3a0a7,37d630065,c877ec971,dba72b647,h,eb,1,109000.0,246.0,1057.0,1057.0,1057.0,1057.0,7922.0
F,Red,Triangle,e0efe9d20,8fec7bc42,5ee5d882b,9a5657ef9,4d73bbea8,a,YC,0,82000.0,0.0,1152.0,1152.0,1152.0,0.0,6040.0
T,Red,Star,e1558b071,fc4518443,fb6716e80,6da888acf,aac5e6ef0,i,qX,1,160000.0,440.0,1324.0,1324.0,1324.0,1088.0,8658.0
F,Green,Trapezoid,d1b1709e8,16dfb662a,b9b8becf9,daa1f22dc,35c121c88,h,RG,0,170000.0,308.0,1328.0,1328.0,1328.0,1350.0,16905.0
T,Green,Polygon,9bb7ea2da,bc82e0ba0,e0570ce05,29f201d51,0d0f52250,g,Ye,0,144000.0,504.0,884.0,884.0,884.0,840.0,9180.0
T,Green,Trapezoid,6fec43dd8,1ad744242,15c34fdba,5d7806f53,f13abffbe,e,wy,0,130250.0,308.0,938.0,938.0,938.0,938.0,9200.0
T,Green,Triangle,9347491f2,5cbbea089,c79fbc620,6d782795c,64b5f4997,o,gJ,0,141000.0,300.0,1150.0,1150.0,1150.0,1150.0,7945.0
T,Blue,Square,0dee9b39a,8fb440e53,12e6161c9,de61586f8,83ee04764,l,qA,1,319900.0,576.0,1752.0,1752.0,1752.0,1752.0,7658.0
F,Blue,Square,be5592604,5cbbea089,7763f2131,4d79f2810,7ab24fae6,a,lL,0,239686.0,670.0,2149.0,1518.0,1518.0,1434.0,12822.0
T,Green,Trapezoid,72f8028dc,af9278b96,c55ec51a8,0a14ed13e,bed934832,f,Qh,0,249700.0,826.0,1656.0,1656.0,1656.0,1656.0,11096.0
T,Blue,Trapezoid,527ded12a,180a3d6cb,9b3244d01,da4a7c11d,d45e84f94,d,Bd,0,113000.0,0.0,1452.0,736.0,736.0,736.0,4456.0
F,Green,Circle,321bf770e,e10910468,81d9a641a,a92c09204,8898fd72f,a,be,0,127000.0,386.0,955.0,955.0,955.0,955.0,7742.0
F,Green,Circle,72f8028dc,2ed5a94b0,2d8e816e2,a0689cd0e,ac541abb1,i,hT,0,177000.0,388.0,1470.0,794.0,794.0,794.0,13869.0
T,Green,Square,416a8f3ab,2a22b315e,4b9f6c617,8175453f0,d73f97a6f,l,lF,1,114500.0,528.0,1176.0,816.0,816.0,816.0,6240.0
F,Green,Trapezoid,f7821e391,55a24a71b,04ddac2be,bb215fb49,ba877ef51,j,nX,1,110000.0,516.0,816.0,816.0,816.0,816.0,8472.0
F,Red,Trapezoid,0de4acd31,c3517eaeb,68943cad3,7ca6ba5f6,08d00ab50,a,kK,0,385000.0,894.0,1842.0,1842.0,1842.0,1842.0,50271.0
T,Green,Star,185ba0a59,cf82b283d,687237f4d,472f79626,4326aaf90,e,av,0,130000.0,572.0,1360.0,1360.0,1360.0,384.0,7134.0
T,Red,Triangle,4845cc770,1fe17a1fd,5ee5d882b,9c979aa1a,c2bdcc981,d,kW,0,180500.0,576.0,1425.0,1425.0,1425.0,1425.0,10175.0
F,Green,Triangle,e1558b071,55eed5058,b0304151b,f73a61c87,5cd6c613c,i,uS,0,172500.0,480.0,1739.0,983.0,983.0,970.0,2645.0
F,Blue,Triangle,9bb7ea2da,0b10fcecc,d31f87228,ce7bd7d9a,3c4365da8,k,uS,0,196500.0,565.0,1720.0,860.0,860.0,860.0,11645.0
T,Red,Triangle,bdb9fef4a,a028c07af,70d3cd098,5fa7f4334,75193d88a,b,Jt,0,438780.0,641.0,2945.0,1426.0,1426.0,1410.0,13682.0
F,Green,Square,3fef1a765,d213f48ed,91c26901a,9b69d293b,8dd7b712c,h,oC,1,124900.0,352.0,780.0,780.0,780.0,780.0,7200.0
T,Red,Star,2cc9e16b9,ddb583aa3,d9bd2ddab,10a85618e,f910f1301,d,bF,0,158000.0,576.0,1158.0,1158.0,1158.0,1158.0,13072.0
T,Green,Trapezoid,fd04a970f,5a5e620b3,9059d843f,6091ae118,6c35bec50,i,PA,1,101000.0,288.0,1111.0,581.0,581.0,530.0,7200.0
F,Red,Triangle,f2d59cf51,c023e914a,925c555e6,4d996c30b,efb7015c0,k,PA,1,202500.0,484.0,1370.0,1370.0,1370.0,1370.0,6442.0
T,Red,Polygon,e844a1f66,9f53d30ad,fcf2b8dce,c699c36c7,c200aec2a,a,Hj,0,140000.0,480.0,1710.0,902.0,902.0,576.0,10300.0
T,Red,Trapezoid,46cab09da,2d9852300,b23e16a87,5fc70d251,d60674abc,l,gJ,0,219500.0,645.0,2034.0,1057.0,1057.0,1057.0,9375.0
T,Blue,Trapezoid,81f9d3312,8cc791aa8,eb50b1f32,36ba00e4b,cb7d3029c,a,Er,0,317000.0,852.0,2473.0,1143.0,1143.0,1143.0,9591.0
T,Green,Trapezoid,30a15b6bd,54474e8d8,d62ddb2cc,9402eebe9,3767f816e,j,Qb,0,180000.0,576.0,2207.0,2207.0,2207.0,1947.0,19900.0
T,Red,Star,f2d59cf51,fa2bf5f22,f7088f803,a89fae205,676136f5e,h,od,0,226000.0,558.0,1479.0,1479.0,1479.0,1453.0,10665.0
T,Green,Trapezoid,8dcf8adfb,36df19a6e,b7ae7dc82,ae2e8eb47,9ee2c8b58,d,ut,0,80000.0,220.0,747.0,747.0,747.0,747.0,4608.0
T,Red,Triangle,83b38aa6b,0bcb379d8,3c452e60d,47dddf1b9,a26cd976c,f,Dx,0,225000.0,667.0,2287.0,1304.0,1304.0,1304.0,15593.0
T,Green,Polygon,74bd42d5f,7dd3f58e9,e47776758,fce16bcb2,26a5be54c,i,qP,0,244000.0,516.0,2223.0,2223.0,2223.0,2223.0,13651.0
F,Blue,Trapezoid,5a94fc1d9,975346729,e94478990,f94576c59,c220983f1,e,Xi,1,129500.0,360.0,845.0,845.0,845.0,845.0,7599.0
F,Green,Triangle,4e1b529f6,96c110558,e5e25d2c6,06aecce86,d1cddf499,l,qK,1,185000.0,427.0,1718.0,885.0,885.0,832.0,10141.0
T,Blue,Triangle,8d5d9f3db,8bb163a87,9ec27039d,5013e2094,86d4e8a7d,d,MV,0,144900.0,490.0,1086.0,1086.0,1086.0,1086.0,10200.0
F,Green,Star,472efea17,96c110558,f68715780,93d5fa073,18b5cbbc7,e,uS,1,107400.0,379.0,1605.0,840.0,840.0,840.0,5790.0
F,Blue,Polygon,f7821e391,df5b440ae,9627ac285,4d43ad72b,a9d63b72c,j,on,1,91000.0,297.0,988.0,526.0,526.0,462.0,1596.0
F,Red,Star,dc07effb0,d760c59b0,27c719804,62a7a5998,9da45dbca,e,fO,0,135750.0,283.0,952.0,952.0,952.0,952.0,8475.0
T,Red,Trapezoid,740fb99a9,e3396fbd5,9fce91b1e,ea03f42aa,47ff1430e,f,Er,0,127000.0,240.0,1285.0,1072.0,1072.0,672.0,8635.0
T,Red,Star,075ceb58b,f497b97d7,a4592b8a2,2d10dbc79,4351e49c3,a,CZ,0,136500.0,0.0,1768.0,1768.0,1768.0,1768.0,10778.0
F,Red,Triangle,0ef5c1879,d405aebc1,5f5b6e957,2d10dbc79,4466b1160,f,Dc,0,110000.0,440.0,1230.0,682.0,682.0,440.0,10440.0
T,Green,Trapezoid,640e1fdd5,d44f7245a,a0be4f3da,64b9cc0ba,2452cca09,k,wy,1,193500.0,509.0,2142.0,1182.0,1182.0,896.0,13000.0
F,Red,Square,a3f640358,f24d83141,db47ba6d3,3cec7c3f5,8f578f412,l,sD,0,153500.0,405.0,1337.0,1337.0,1337.0,1237.0,4500.0
F,Red,Trapezoid,be4578201,6c0354890,bc38729ef,c2f66dc3f,521930b44,o,rZ,1,245000.0,758.0,1563.0,1563.0,1563.0,1563.0,10206.0
F,Green,Trapezoid,c5725677e,8c9d16cc3,1bc3c85ad,1acbefae5,e2a7022b6,d,Uu,0,126500.0,461.0,1065.0,1065.0,1065.0,1065.0,8892.0
T,Green,Polygon,a3f640358,9e0a099c7,d9e7595bb,00405ddc2,0c0bae2b3,a,sn,1,168500.0,400.0,1474.0,804.0,804.0,384.0,8530.0
F,Blue,Polygon,3b5632a0c,fac5eff9e,c55ec51a8,2e2f8320b,bb2f0e618,j,yc,0,260000.0,462.0,2417.0,1301.0,1301.0,1288.0,16059.0
T,Blue,Polygon,3b5632a0c,c9eedfbc2,711ee2d57,7e0338e4e,493ed719e,i,Fo,0,174000.0,400.0,1560.0,684.0,684.0,684.0,11911.0
T,Red,Square,be4578201,44e4c0bba,da3b970aa,4d22a9abe,51edec159,f,kK,0,164500.0,528.0,1224.0,612.0,612.0,612.0,3951.0
T,Green,Trapezoid,91bde92fa,c8436c277,7f1dc7d07,ebafa5e20,0783ebdcb,g,qP,1,85000.0,0.0,1526.0,1013.0,1013.0,1013.0,8470.0
T,Green,Trapezoid,39647c92a,acf5b10dd,0944f3afc,057155a1d,9dc708e2d,g,Bd,0,123600.0,0.0,990.0,990.0,990.0,990.0,8070.0
T,Blue,Trapezoid,534be2753,a405b7cf0,137922383,c5e72a6bf,41df37a52,f,oC,1,109900.0,420.0,1040.0,1040.0,1040.0,0.0,7200.0
T,Green,Polygon,46cab09da,dfb9bd114,1c3f27dd8,f91f3b1ee,8a730c339,l,KZ,1,98600.0,480.0,1235.0,1235.0,1235.0,1235.0,8500.0
T,Green,Star,30a530eab,b69c236cb,0bcd0782c,842d0e1fa,3b05d2cd6,o,su,1,163500.0,432.0,964.0,964.0,964.0,876.0,13360.0
T,Green,Circle,5d18641ff,b8caba53f,03c02132c,76c3740a6,0924bd9ab,c,on,0,133900.0,506.0,2291.0,1260.0,1260.0,1214.0,7200.0
F,Blue,Triangle,7ee26092e,126a4f83d,2c89fa25b,112d80fd7,d9c39b26a,f,Gb,0,204750.0,684.0,1786.0,905.0,905.0,824.0,9337.0
F,Red,Trapezoid,c0534106d,2df6f79a2,d59d731b6,6ee0c7b3e,d5758e0c9,e,on,0,185000.0,420.0,1470.0,680.0,680.0,680.0,9765.0
F,Blue,Polygon,f12246592,565a89e93,c4c73c899,14d9f495f,db6b6d53f,a,Kq,0,214000.0,472.0,1588.0,1588.0,1588.0,1588.0,10264.0
F,Green,Triangle,908a1b9c9,2df6f79a2,5ee5d882b,abd59f78f,53486bd3e,l,RL,1,94750.0,432.0,960.0,960.0,960.0,960.0,10921.0
T,Red,Circle,2979f0d45,29e27ff9d,fb41d6f9d,31e7314d6,3cb920ed5,l,MV,0,83000.0,366.0,835.0,835.0,835.0,458.0,10625.0
T,Red,Square,5b1a9f841,dfb9bd114,e8e8b6747,265b7da28,95345e0f7,g,dQ,1,128950.0,0.0,1225.0,1225.0,1225.0,950.0,9320.0
F,Red,Square,caf83c0b5,2268327b2,092130a59,6cecf2c6c,55aebe10f,a,Fo,0,205000.0,480.0,1610.0,1610.0,1610.0,1610.0,10603.0
F,Blue,Square,713ad10a7,fb80a804f,9aaac4deb,b295087fb,7b14a2b9d,a,CL,0,178000.0,476.0,1732.0,977.0,977.0,741.0,9206.0
T,Blue,Star,9ad6558d1,36df19a6e,d7326ea7a,f73a61c87,f7ccd55c9,f,hp,0,118964.0,410.0,1535.0,1535.0,1535.0,0.0,7018.0
F,Red,Star,ef38568df,a406a5f12,c2091c1eb,f5d51064b,be3bf2347,j,kL,0,198900.0,740.0,1226.0,1226.0,1226.0,1226.0,10402.0
F,Blue,Polygon,de04b8750,3bac0bd8e,acedff31e,dac367de2,3f3b2b9b9,n,dP,0,169500.0,240.0,1818.0,1226.0,1226.0,1040.0,7758.0
F,Blue,Polygon,bd40c81f3,ea7a1aaf6,7edab3598,4de9ccc2f,71b8004c5,i,je,0,250000.0,648.0,1992.0,1053.0,1053.0,1053.0,9375.0
T,Green,Trapezoid,ade526ba7,ec5064acb,ce310f731,543402bac,f73bcd6c6,k,od,0,100000.0,273.0,1047.0,1047.0,1047.0,641.0,10800.0
T,Red,Circle,4e28ceffa,f083d48ad,36d85d658,e588cff32,cf1354237,c,CU,0,115000.0,250.0,789.0,789.0,789.0,789.0,6000.0
F,Blue,Trapezoid,9347491f2,d4fd01769,be2582710,de9c9f684,65cf86020,a,Ye,0,115000.0,0.0,1517.0,997.0,997.0,793.0,8500.0
F,Blue,Trapezoid,1305d6e77,fd9370b9e,ef19d40b7,a2eb56495,9fab706ab,e,Fd,0,190000.0,546.0,1844.0,1844.0,1844.0,1844.0,11751.0
T,Blue,Circle,6fec43dd8,a9925d0e5,f92e1c054,1b0746630,daee68360,h,Fo,0,136900.0,325.0,1855.0,1216.0,1216.0,994.0,9525.0
T,Green,Trapezoid,3263bdce5,09e796196,3ee51a8c5,eaf3831ea,001e2ba03,f,Xi,1,180000.0,400.0,1430.0,774.0,774.0,384.0,7750.0
T,Red,Trapezoid,4845cc770,603232dea,009a419af,c8a8c9912,deb38e612,k,Ed,0,383970.0,792.0,2696.0,1282.0,1282.0,1264.0,9965.0
F,Red,Triangle,caf83c0b5,d43e63dc9,137922383,0bda6bd36,0148bf087,g,hT,0,217000.0,450.0,2259.0,2259.0,2259.0,1809.0,21000.0
F,Green,Trapezoid,3585ff84b,5d7c5c023,6f3940b72,7c8dba46f,276525ee0,g,PQ,0,259500.0,180.0,2320.0,1436.0,1436.0,1028.0,7259.0
T,Red,Circle,b0c8dba76,9f53d30ad,aa148acce,636af9ac0,4de471828,b,Bn,0,176000.0,440.0,1458.0,729.0,729.0,729.0,3230.0
F,Blue,Polygon,a3f640358,5194690a0,f8d54b1e6,b14330b87,c2ff464db,g,ex,0,139000.0,288.0,1092.0,1092.0,1092.0,1092.0,11616.0
T,Blue,Trapezoid,33adb4760,cf8b12b4e,4a7761d5f,fd3382dd3,6404774ab,j,hh,1,155000.0,430.0,1125.0,1125.0,1125.0,1125.0,8536.0
T,Green,Triangle,66669a44f,dfb457d2a,4ccc9f448,8a504f188,80cf5687e,b,ac,0,320000.0,594.0,3222.0,1699.0,1699.0,1673.0,12376.0
T,Blue,Triangle,33adb4760,a26bedd00,04a6f404e,c9180665d,1625ee58d,i,aP,1,163990.0,390.0,1456.0,728.0,728.0,728.0,8461.0
F,Blue,Trapezoid,9ba4e87a7,3c5d81a52,35d07cd61,6fc24b5ca,076c03d92,j,rp,0,180000.0,540.0,988.0,988.0,988.0,938.0,21453.0
T,Blue,Star,c0534106d,3b9693870,080f75dce,19d90bd44,ee997e1c2,i,YC,0,100000.0,264.0,1123.0,772.0,772.0,732.0,6060.0
F,Blue,Trapezoid,e1558b071,96abdfa66,ab8964e52,02575b3b3,18f3b0358,j,Gb,0,136000.0,288.0,1080.0,1080.0,1080.0,1080.0,9464.0
T,Green,Square,f50eb07ae,5cbbea089,b1e0ffc10,8fbf74c31,c0596de85,k,kL,0,153900.0,530.0,1199.0,1199.0,1199.0,1199.0,7892.0
T,Green,Trapezoid,29e7f8525,d43e63dc9,47e644472,b7e6f8e6f,96f06661e,g,Bn,0,181000.0,435.0,1586.0,1586.0,1586.0,1362.0,17043.0
T,Red,Trapezoid,185ba0a59,d88fca3ba,24ffacfdc,d51a928ca,0bb2de046,a,dE,0,84500.0,0.0,754.0,520.0,520.0,520.0,6780.0
T,Green,Circle,83b38aa6b,eeda68203,17b83802f,bbbc9dc68,032eb51e9,h,oG,0,128000.0,440.0,958.0,958.0,958.0,1078.0,4928.0
T,Red,Square,5a94fc1d9,9e0a099c7,bc9fd0175,d34944b63,918cd70e2,j,oK,1,87000.0,0.0,840.0,840.0,840.0,672.0,4388.0
T,Red,Trapezoid,d9becff68,8ed6221ae,55c29cb32,0a7ccad0b,12d8e2b86,l,cp,1,155000.0,453.0,1348.0,660.0,660.0,660.0,7590.0
T,Green,Polygon,159a7306f,487c32dfa,212cf5255,3032ce76e,da49c238e,d,sV,1,150000.0,750.0,1053.0,1053.0,1053.0,1008.0,8973.0
F,Green,Circle,640e1fdd5,0bcb379d8,21a9b0580,ae2e8eb47,2f2d66e15,o,mm,1,226000.0,487.0,2157.0,1216.0,1216.0,924.0,14200.0
F,Blue,Trapezoid,bdb9fef4a,c135cdf77,f81532d6e,c23895153,9ee16c1da,l,vK,1,244000.0,390.0,2054.0,1022.0,1022.0,992.0,12224.0
F,Green,Polygon,5d18641ff,3ac1b8814,96dacbb81,34cba6dfb,08f1f310d,i,ek,0,150750.0,624.0,1327.0,1327.0,1327.0,1063.0,7388.0
T,Blue,Polygon,30a15b6bd,d4d727716,909d5dccd,bb2c599dd,44acc9af3,e,dO,1,220000.0,471.0,1296.0,1296.0,1296.0,1267.0,6853.0
F,Green,Trapezoid,a5c276589,5755f93b2,fb36575c6,b80b1b531,7590069bf,l,fO,0,180000.0,440.0,1721.0,1721.0,1721.0,1461.0,10335.0
T,Red,Trapezoid,30a530eab,642fcc7be,fca1988e7,48ef2bd73,957ea6a64,g,dQ,0,174000.0,530.0,1682.0,1682.0,1682.0,1304.0,10400.0
T,Green,Square,9ad6558d1,2eadb68c5,d863df6ca,15091badf,5e27bf261,l,hh,0,143000.0,318.0,1214.0,1214.0,1214.0,1214.0,10355.0
T,Red,Trapezoid,0870880f6,4c1bdbe7b,352282217,264d5619f,c5fa302b5,l,XI,1,171000.0,766.0,1959.0,1959.0,1959.0,1907.0,11070.0
T,Blue,Square,4e28ceffa,a9925d0e5,4f938941b,b36a6282f,1cb6ae4a6,l,CM,0,230000.0,660.0,1852.0,1004.0,1004.0,1004.0,9066.0
F,Green,Polygon,72f8028dc,efa38c99d,014c66968,02575b3b3,4f6b8c0a1,g,Gb,0,231500.0,470.0,1764.0,928.0,928.0,928.0,15426.0
T,Blue,Square,185ba0a59,96c110558,f8a8c1204,6c60695de,437bc69a0,i,Bn,0,115000.0,0.0,864.0,864.0,864.0,864.0,10500.0
F,Red,Trapezoid,92190168b,6d7f8c086,8145adbe4,fa838f0f7,0824f64c5,i,hp,0,260000.0,660.0,1734.0,1734.0,1734.0,1734.0,11645.0
F,Blue,Star,2979f0d45,7112aaf8e,fb36575c6,34ccf9b13,abb81c1f3,h,KZ,1,166000.0,720.0,1385.0,910.0,910.0,910.0,8520.0
F,Red,Polygon,5a466e166,e0664a4d3,415af688c,0be3d6175,d7f5f79d5,i,Vf,0,204000.0,577.0,1501.0,1501.0,1501.0,1490.0,10335.0
F,Blue,Square,e7d9ca356,aed51f2c9,e284f6804,1e0d7f004,8409caa2b,i,KZ,0,125000.0,504.0,1728.0,1728.0,1728.0,1728.0,9100.0
T,Blue,Circle,f7821e391,02d689659,bb4e2bb0f,f1ed0bc45,070a2aa28,k,cp,1,130000.0,380.0,1709.0,970.0,970.0,970.0,2522.0
T,Green,Square,d372c8993,5194690a0,1cd2547ac,e2b580e70,0ccac7ef7,i,PZ,1,105000.0,180.0,875.0,875.0,875.0,715.0,6120.0
T,Blue,Polygon,fd04a970f,7d8bc814a,bb5a78030,c9180665d,029d3d7c6,b,aO,1,222500.0,434.0,2035.0,884.0,884.0,884.0,9505.0
F,Blue,Polygon,b0faff28f,cefab1020,3482f1d44,3025495cf,32428ce3c,i,PQ,0,141000.0,0.0,1080.0,1080.0,1080.0,1080.0,7500.0
F,Green,Square,416a8f3ab,70a942fc1,3066a4c4f,63572f4db,1bf37240f,h,qv,1,115000.0,240.0,1344.0,896.0,896.0,896.0,6240.0
F,Blue,Circle,e5b29c42b,e3396fbd5,f068c45b3,0c4a1890e,a4fade98a,e,su,0,122000.0,440.0,969.0,969.0,969.0,969.0,10356.0
F,Blue,Trapezoid,b97f51ac4,2cd425e1f,3a114adea,5c6a74efd,4a75ee299,i,jp,1,372402.0,866.0,1710.0,1710.0,1710.0,1710.0,13891.0
T,Green,Trapezoid,778fdbe56,63d0e6105,e284f6804,8c46d93f3,49d9b1fa8,k,Jc,0,190000.0,495.0,1993.0,1097.0,1097.0,825.0,14803.0
F,Red,Trapezoid,f0c1ceee4,e77244b50,bbaf3de19,c2d7fbae0,51489f58c,a,Zq,0,235000.0,564.0,1252.0,1252.0,1252.0,1602.0,13500.0
F,Blue,Square,b7bb45938,839a6bcdb,4a0ff1117,5127124be,ef68b5367,l,rZ,1,125000.0,312.0,1200.0,1200.0,1200.0,1200.0,11340.0
F,Red,Circle,8266050c6,18a901239,2092f3420,c3f6d6a89,544df2857,e,Qo,0,79000.0,0.0,1096.0,572.0,572.0,572.0,9600.0
F,Red,Trapezoid,b7bb45938,fc613f31d,68f6ad3e9,0767e6fee,3aecf5f0b,j,DN,0,109500.0,625.0,1040.0,1040.0,1040.0,0.0,7200.0
T,Red,Triangle,6f70dc2df,c023e914a,027b6d692,66413f5c4,460999a3b,f,aP,0,269500.0,680.0,1968.0,774.0,774.0,774.0,12003.0
F,Green,Polygon,3585ff84b,ea7a1aaf6,4b9f6c617,f15e34799,a9e87d557,l,TZ,1,254900.0,678.0,1947.0,991.0,991.0,991.0,12552.0
T,Green,Polygon,84b0081ad,0e2f036b5,36d85d658,6adf330a1,c7d528871,f,rp,0,320000.0,576.0,2462.0,1392.0,1392.0,1392.0,19378.0
